Hey Ya!|OutKast
Crazy in Love|Beyoncé ft. Jay-Z
Mr. Brightside|The Killers
In da Club|50 Cent
Since U Been Gone|Kelly Clarkson
Hey There Delilah|Plain White T's
Umbrella|Rihanna ft. Jay-Z
Toxic|Britney Spears
Complicated|Avril Lavigne
Yeah!|Usher ft. Lil Jon & Ludacris
Poker Face|Lady Gaga
Boulevard of Broken Dreams|Green Day
Viva la Vida|Coldplay
Apologize|OneRepublic
SexyBack|Justin Timberlake
Fergalicious|Fergie
Bring Me to Life|Evanescence
Just Dance|Lady Gaga ft. Colby O'Donis
I Gotta Feeling|Black Eyed Peas
Seven Nation Army|The White Stripes
