Smells Like Teen Spirit|Nirvana
Wonderwall|Oasis
Losing My Religion|R.E.M.
No Diggity|Blackstreet
Waterfalls|TLC
I Want It That Way|Backstreet Boys
...Baby One More Time|Britney Spears
Torn|Natalie Imbruglia
Creep|Radiohead
Black Hole Sun|Soundgarden
Ironic|Alanis Morissette
Mr. Jones|Counting Crows
Zombie|The Cranberries
Basket Case|Green Day
Bitter Sweet Symphony|The Verve
Livin' la Vida Loca|Ricky Martin
My Heart Will Go On|Celine Dion
Return of the Mack|Mark Morrison
Semi-Charmed Life|Third Eye Blind
Wannabe|Spice Girls
